"Date","Open","High","Low","Close"
"15 Sep 2015","1817.4","1820.9","1768.4","1772.10"
"14 Sep 2015","1778.3","1818","1767.15","1814.80"
"11 Sep 2015","1808.45","1812.4","1760.15","1767.35"
"10 Sep 2015","1780.8","1802.65","1768.45","1794.55"
"09 Sep 2015","1787.55","1821.3","1768.15","1809.15"
"08 Sep 2015","1714.6","1761.65","1704","1745.65"
"07 Sep 2015","1762.2","1762.2","1701.9","1704.30"
"04 Sep 2015","1783.85","1783.85","1730.85","1748.50"
"03 Sep 2015","1759.6","1801.55","1751.7","1787.90"
"02 Sep 2015","1783.85","1791.75","1736.9","1745.50"
"01 Sep 2015","1809.9","1826.95","1747.7","1770.80"
"31 Aug 2015","1811.3","1847.45","1791.45","1833.15"
"28 Aug 2015","1850.2","1850.2","1803.5","1820.15"
"27 Aug 2015","1792.55","1819.65","1773.45","1809.70"
"26 Aug 2015","1749","1785.55","1729.3","1760.95"
"25 Aug 2015","1723.75","1761.2","1666.65","1754.95"
"24 Aug 2015","1765.9","1767.6","1676.4","1693.95"
"21 Aug 2015","1815.85","1830.5","1798.85","1822.35"
"20 Aug 2015","1873.55","1886.05","1835.05","1838.40"
"19 Aug 2015","1902.4","1906.5","1879.3","1882.00"
"18 Aug 2015","1950.25","1964.85","1892.75","1909.10"
"17 Aug 2015","1925.55","1947.55","1893.65","1942.95"
"14 Aug 2015","1895.15","1924.55","1875.85","1920.60"
"13 Aug 2015","1959.7","1969.25","1889.15","1893.60"
"12 Aug 2015","2042.65","2042.65","1930.25","1947.55"
"11 Aug 2015","2116.8","2116.8","2030.05","2035.40"
"10 Aug 2015","2144.7","2144.7","2100.8","2109.80"
"07 Aug 2015","2158.4","2170.8","2127","2131.95"
"06 Aug 2015","2168.95","2173.25","2148.65","2154.40"
"05 Aug 2015","2183.25","2211.5","2161.5","2166.50"
"04 Aug 2015","2120","2179.95","2108.9","2167.70"
"03 Aug 2015","2133.65","2136.25","2102.6","2109.35"
"31 Jul 2015","2112.85","2141.65","2109","2128.65"
"30 Jul 2015","2108.6","2110.05","2089.4","2095.70"
"29 Jul 2015","2100.45","2111.95","2086.85","2097.95"
"28 Jul 2015","2105.85","2111.45","2085.9","2093.15"
"27 Jul 2015","2144.95","2144.95","2094.45","2103.85"
"24 Jul 2015","2174.35","2190.55","2148.55","2151.65"
"23 Jul 2015","2182.65","2195.8","2173.8","2180.10"
"22 Jul 2015","2156.85","2193.1","2149.85","2189.85"
"21 Jul 2015","2200.55","2201.75","2163.95","2169.90"
"20 Jul 2015","2214.3","2215.05","2191.5","2194.55"
"17 Jul 2015","2220.45","2222.1","2198","2207.65"
"16 Jul 2015","2222.25","2226.25","2210.4","2217.20"
"15 Jul 2015","2218.3","2227.4","2206","2209.10"
"14 Jul 2015","2194.4","2211.3","2190.7","2205.10"
"13 Jul 2015","2185.55","2192.2","2158.85","2189.30"
"10 Jul 2015","2178.95","2191.75","2166.5","2179.90"
"09 Jul 2015","2174.65","2184.3","2156.65","2159.75"
"08 Jul 2015","2235.7","2235.7","2152.6","2166.80"
"07 Jul 2015","2260.4","2278.7","2251.2","2257.90"
"06 Jul 2015","2240.6","2257.3","2223.35","2254.80"
"03 Jul 2015","2303.55","2307.1","2263.2","2268.25"
"02 Jul 2015","2321.2","2325.25","2290.8","2299.95"
"01 Jul 2015","2292.65","2324.25","2292.3","2314.75"
"30 Jun 2015","2249.95","2292.6","2249.95","2287.30"
"29 Jun 2015","2255.5","2256.05","2210.65","2245.80"
"26 Jun 2015","2296.4","2303","2271.55","2281.45"
"25 Jun 2015","2285.6","2305.3","2281.55","2299.80"
"24 Jun 2015","2338.35","2343.7","2281","2292.25"
"23 Jun 2015","2294.5","2340.5","2291.25","2325.50"
"22 Jun 2015","2273.55","2301.15","2272.2","2288.80"
"19 Jun 2015","2272.25","2287.25","2250.7","2261.05"
"18 Jun 2015","2263.65","2267.85","2246.25","2252.90"
"17 Jun 2015","2254.6","2275.95","2235.95","2256.70"
"16 Jun 2015","2237.55","2241.8","2223.6","2238.80"
"15 Jun 2015","2257.7","2260.55","2230.95","2233.95"
"12 Jun 2015","2276","2276","2239.8","2247.20"
"11 Jun 2015","2321.55","2326","2276.75","2281.80"
"10 Jun 2015","2295.9","2317.6","2293.55","2311.50"
"09 Jun 2015","2274.55","2308.45","2259.7","2295.75"
"08 Jun 2015","2325.65","2337.85","2275.95","2279.70"
"05 Jun 2015","2277.45","2338.2","2272.9","2315.50"
"04 Jun 2015","2308.1","2308.1","2247.1","2274.20"
"03 Jun 2015","2328.75","2336.1","2284.6","2303.65"
